,nombre_embalse,demarcacion_hidrografica,ccaa,provincia,uso,coordenadas,x,y
273,sotiel,"tinto, odiel y piedras",Andalucía,Huelva,Abastecimiento,"37.712180796,-6.80803912999994","37,712180796","-6,80803912999994"
274,"sotonera, la",ebro,Aragón,Huesca,"Abastecimiento
Ganadero
Defensa frente avenidas","42.102575195,-0.676812114999962","42,102575195","-0,676812114999962"
275,susqueda,cuencas internas de cataluña,Cataluña,Girona,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","41.979226356,2.52687350900004","41,979226356","2,52687350900004"
276,taibilla,segura,Castilla - La Mancha,Albacete,Abastecimiento,"38.192427536,-2.26193352199994","38,192427536","-2,26193352199994"
277,"tajera, la",tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Ganadero
Defensa frente avenidas","40.839152359,-2.61773660099993","40,839152359","-2,61773660099993"
278,talarn,ebro,Cataluña,Lleida,"Abastecimiento
Defensa frente avenidas","42.179589596,0.913197954000054","42,179589596","0,913197954000054"
279,"talave, el",segura,Castilla - La Mancha,Albacete,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","38.5085969190001,-1.86470514699994","38,5085969190001","-1,86470514699994"
280,tanes,cantabrico occidental,Principado De Asturias,Asturias,"Abastecimiento
Defensa frente avenidas","43.220949729,-5.42776056999998","43,220949729","-5,42776056999998"
281,"toba, la",jucar,Castilla - La Mancha,Cuenca,Abastecimiento,"40.2100666220001,-1.92215366299996","40,2100666220001","-1,92215366299996"
282,"torcas, las",ebro,Aragón,Zaragoza,"Abastecimiento
Defensa frente avenidas","41.294686266,-1.08744698599997","41,294686266","-1,08744698599997"
283,"torcon, el",tajo,Castilla - La Mancha,Toledo,Abastecimiento,"39.6252768730001,-4.38550029999993","39,6252768730001","-4,38550029999993"
284,torre de abraham,guadiana,Castilla - La Mancha,Ciudad Real,"Abastecimiento
Defensa frente avenidas","39.368362071,-4.25458640099993","39,368362071","-4,25458640099993"
285,torre del aguila,guadalquivir,Andalucía,Sevilla,Abastecimiento,"37.042369367,-5.75897830099996","37,042369367","-5,75897830099996"
286,tous,jucar,Comunitat Valenciana,"València,Valencia","Abastecimiento
Ganadero
Defensa frente avenidas","39.13201271,-0.651384200999928","39,13201271","-0,651384200999928"
287,tranco de beas,guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","38.1742016740001,-2.79602526599996","38,1742016740001","-2,79602526599996"
288,"tranquera, la",ebro,Aragón,Zaragoza,"Abastecimiento
Defensa frente avenidas","41.262569371,-1.79716175699997","41,262569371","-1,79716175699997"
289,ulldecona,jucar,Comunitat Valenciana,"Castelló,Castellón","Abastecimiento
Defensa frente avenidas","40.670915209,0.233962578000046","40,670915209","0,233962578000046"
290,ullivarri,ebro,País Vasco,"Araba,Álava","Abastecimiento
Ganadero
Defensa frente avenidas","42.9292733350001,-2.61677326299997","42,9292733350001","-2,61677326299997"
291,urdalur,ebro,Comunidad Foral De Navarra,Navarra,Abastecimiento,"42.916911187,-2.23343148499993","42,916911187","-2,23343148499993"
292,urkulu,cantabrico oriental,País Vasco,"Gipuzkoa,Guipúzcoa",Abastecimiento,"43.0225055220001,-2.47053633499996","43,0225055220001","-2,47053633499996"
293,urrunaga,ebro,País Vasco,"Araba,Álava","Abastecimiento
Defensa frente avenidas","42.957875626,-2.65412456499996","42,957875626","-2,65412456499996"
294,uzquiza,duero,Castilla Y León,Burgos,"Abastecimiento
Defensa frente avenidas","42.304453472,-3.36854357999994","42,304453472","-3,36854357999994"
295,vadiello,ebro,Aragón,Huesca,"Abastecimiento
Defensa frente avenidas","42.2412072050001,-0.278563394999935","42,2412072050001","-0,278563394999935"
296,"vado, el",tajo,Castilla - La Mancha,Guadalajara,Abastecimiento,"41.0034892630001,-3.30090199199998","41,0034892630001","-3,30090199199998"
297,vadomojon,guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","37.6389097580001,-4.22658613199997","37,6389097580001","-4,22658613199997"
298,val,ebro,Aragón,Zaragoza,"Abastecimiento
Ganadero
Defensa frente avenidas","41.8757919440001,-1.78697264699997","41,8757919440001","-1,78697264699997"
299,valdecañas,tajo,Extremadura,Cáceres,"Abastecimiento
Defensa frente avenidas","39.7781074380001,-5.61185123699994","39,7781074380001","-5,61185123699994"
300,valdeinfierno,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","37.8054910990001,-1.96467018699997","37,8054910990001","-1,96467018699997"
301,valdeobispo,tajo,Extremadura,Cáceres,"Abastecimiento
Defensa frente avenidas","40.099036471,-6.25053019799998","40,099036471","-6,25053019799998"
302,valmayor,tajo,Comunidad De Madrid,Madrid,Abastecimiento,"40.535345943,-4.04728874499995","40,535345943","-4,04728874499995"
303,valparaiso,duero,Castilla Y León,Zamora,Abastecimiento,"41.9931549560001,-6.27147818599997","41,9931549560001","-6,27147818599997"
304,valuengo,guadiana,Extremadura,Badajoz,"Abastecimiento
Defensa frente avenidas","38.301870679,-6.67658085999994","38,301870679","-6,67658085999994"
305,"vega del jabalon, la",guadiana,Castilla - La Mancha,Ciudad Real,Abastecimiento,"38.7610742730001,-3.78659975599993","38,7610742730001","-3,78659975599993"
306,velle,miño-sil,Galicia,Ourense,"Abastecimiento
Defensa frente avenidas","42.357859342,-7.85142526699997","42,357859342","-7,85142526699997"
307,viboras,guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","37.639127269,-4.01175384999993","37,639127269","-4,01175384999993"
308,vilagudin,galicia-costa,Galicia,A Coruña,Abastecimiento,"43.0945645850001,-8.49268471099998","43,0945645850001","-8,49268471099998"
309,vilasouto,miño-sil,Galicia,Lugo,"Abastecimiento
Defensa frente avenidas","42.660979092,-7.42345703199993","42,660979092","-7,42345703199993"
310,villagonzalo,duero,Castilla Y León,Salamanca,"Abastecimiento
Industrial
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.8732344370001,-5.49557555299998","40,8732344370001","-5,49557555299998"
311,villalcampo,duero,Castilla Y León,Zamora,Abastecimiento,"41.4911858350001,-6.08484394399994","41,4911858350001","-6,08484394399994"
312,villameca,duero,Castilla Y León,León,"Abastecimiento
Ganadero
Defensa frente avenidas","42.6484728770001,-6.07216067399997","42,6484728770001","-6,07216067399997"
313,villar del rey,guadiana,Extremadura,Badajoz,"Abastecimiento
Ganadero
Defensa frente avenidas","39.1519574230001,-6.86669007999996","39,1519574230001","-6,86669007999996"
314,"villar, el",tajo,Comunidad De Madrid,Madrid,"Abastecimiento
Defensa frente avenidas","40.9474491760001,-3.56294228099995","40,9474491760001","-3,56294228099995"
315,villaseca,miño-sil,Castilla Y León,León,Abastecimiento,"42.9499617270001,-6.23165102999997","42,9499617270001","-6,23165102999997"
316,"viñuela, la",cuencas mediterraneas andaluzas,Andalucía,Málaga,"Abastecimiento
Defensa frente avenidas","36.8603996900001,-4.16443532799997","36,8603996900001","-4,16443532799997"
317,yeguas,guadalquivir,Andalucía,Córdoba,"Abastecimiento
Defensa frente avenidas","38.067110868,-4.25109803499993","38,067110868","-4,25109803499993"
318,yesa,ebro,Comunidad Foral De Navarra,Navarra,"Abastecimiento
Defensa frente avenidas","42.615335069,-1.18301587299993","42,615335069","-1,18301587299993"
319,zahara,guadalete y barbate,Andalucía,Cádiz,Abastecimiento,"36.855621898,-5.38972319099997","36,855621898","-5,38972319099997"
320,zocueca,guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","38.095561881,-3.83109787299998","38,095561881","-3,83109787299998"
321,zujar,guadiana,Extremadura,Badajoz,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","38.917254642,-5.47935710499996","38,917254642","-5,47935710499996"
